k,genes,combo_auc,best_individual_auc,synergy_score
3,SNORD97 | TINAGL1 | LOC112268270,0.5694,0.5698,-0.0004
3,SMG1P5 | ANGPT2 | LOC112268270,0.5679,0.5986,-0.0307
3,SMG1P5 | MAP3K2-DT | SNORD97,0.5564,0.5698,-0.0134
3,TINAGL1 | CKMT2 | LOC112268270,0.5541,0.5891,-0.035
3,MAP3K2-DT | TINAGL1 | LOC112268270,0.5521,0.5421,0.01
3,MAP3K2-DT | SNORD97 | LOC112268270,0.548,0.5698,-0.0218
3,MAP3K2-DT | CKMT2 | LOC112268270,0.5473,0.5891,-0.0418
3,SMG1P5 | MAP3K2-DT | LOC112268270,0.541,0.5421,-0.0011
4,TINAGL1 | CKMT2 | NR4A1 | ENSG00000279656,0.6914,0.5891,0.1023
4,ANGPT2 | MAP3K2-DT | CKMT2 | NR4A1,0.6906,0.5986,0.092
4,MAP3K2-DT | TINAGL1 | CKMT2 | NR4A1,0.6897,0.5891,0.1006
4,MAP3K2-DT | SNORD97 | CKMT2 | NR4A1,0.6896,0.5891,0.1005
4,ANGPT2 | MAP3K2-DT | SNORD97 | NR4A1,0.6878,0.5986,0.0892
4,ANGPT2 | MAP3K2-DT | NR4A1 | ENSG00000279656,0.6875,0.5986,0.0889
4,SMG1P5 | TINAGL1 | CKMT2 | NR4A1,0.6868,0.5891,0.0977
4,ANGPT2 | SNORD97 | ENSG00000279656 | LOC112268270,0.6857,0.5986,0.0871
4,MAP3K2-DT | SNORD97 | NR4A1 | ENSG00000279656,0.6831,0.5698,0.1133
4,ANGPT2 | SNORD97 | TINAGL1 | ENSG00000279656,0.6817,0.5986,0.0831
4,ANGPT2 | MAP3K2-DT | TINAGL1 | NR4A1,0.6811,0.5986,0.0825
4,MAP3K2-DT | CKMT2 | NR4A1 | ENSG00000279656,0.6803,0.5891,0.0912
4,ANGPT2 | SNORD97 | NR4A1 | ENSG00000279656,0.6789,0.5986,0.0803
4,ANGPT2 | TINAGL1 | CKMT2 | ENSG00000279656,0.6788,0.5986,0.0802
4,ANGPT2 | TINAGL1 | ENSG00000279656 | LOC112268270,0.678,0.5986,0.0794
4,SMG1P5 | TINAGL1 | ENSG00000279656 | LOC112268270,0.6772,0.5198,0.1574
4,ANGPT2 | TINAGL1 | NR4A1 | ENSG00000279656,0.677,0.5986,0.0784
4,SMG1P5 | ANGPT2 | TINAGL1 | ENSG00000279656,0.6763,0.5986,0.0777
4,SNORD97 | TINAGL1 | NR4A1 | ENSG00000279656,0.676,0.5698,0.1062
