n_features,mean_auc
296,0.996572111364715
297,0.9970322704571648
298,0.9958020722695533
299,0.9971850918623307
300,0.9966091161781655
301,0.9963783304332106
302,0.9959554586337032
303,0.9968393369641364
304,0.9957625251406748
305,0.9964159002056452
306,0.9961096924363291
307,0.9969187137013853
308,0.9962243791100767
309,0.9968390544846443
310,0.9963003660934217
311,0.9961461322907956
312,0.9966096811371494
313,0.9959534812772592
314,0.9970322704571647
315,0.9964167476441211
316,0.9962232491921087
317,0.9963786129127025
318,0.996261383923527
319,0.9963780479537185
320,0.9966856681204945
321,0.9961074326003931
322,0.9967633499807913
323,0.9964170301236128
324,0.9952989762943212
325,0.9964571422114755
326,0.996111669792773
327,0.9967627850218074
328,0.9958402070009719
329,0.9966853856410024
330,0.9964167476441211
331,0.9969554360353439
332,0.9955693091681544
333,0.9963780479537185
334,0.9959178888612688
335,0.996801202232718
336,0.9950724277417459
337,0.996417595082597
338,0.9961469797292717
339,0.996801767191702
340,0.9961472622087637
341,0.9956080088585569
342,0.9961088449978532
343,0.9961074326003934
344,0.9958387946035119
345,0.9959546111952273
346,0.996108562518361
347,0.9964150527671691
348,0.9964545998960477
349,0.996185961899166
350,0.9956475559874353
351,0.9953792004700459
352,0.9957235429707803
353,0.9961068676414093
354,0.9952625364398544
355,0.9960721226638947
356,0.995450385302027
357,0.9957605477842308
358,0.9947987051140087
359,0.9957645024971187
360,0.9952995412533049
361,0.9959161939843169
362,0.9949913561275452
363,0.9956102686944928
364,0.9956080088585569
365,0.9963000836139295
366,0.995375810716142
367,0.9961873742966262
368,0.9951436125737271
369,0.9958370997265599
370,0.995606878940589
371,0.9954136629680684
372,0.9957978350771735
373,0.9954139454475606
374,0.9959136516688888
375,0.9958755169374705
376,0.9958774942939141
377,0.9951845721000655
378,0.9959156290253327
379,0.995145872409663
380,0.9952602766039185
381,0.995298976294321
382,0.9957605477842308
383,0.9961065851619171
384,0.9947218706921876
385,0.9963774829947345
386,0.9954529276174549
387,0.9959529163182752
388,0.995452080178979
389,0.9956851257598698
390,0.9954147928860365
391,0.9954933221848095
392,0.9952605590834105
393,0.9954147928860365
394,0.9956845608008859
395,0.995299258773813
396,0.9954523626584709
397,0.9953752457571581
398,0.9961461322907958
399,0.9959531987977673
400,0.995221859393008
401,0.9960692978689746
402,0.9954156403245124
403,0.9947605703825901
404,0.9953763756751259
405,0.9949890962916091
406,0.9956464260694673
407,0.9951441775327112
408,0.9958379471650358
409,0.9952599941244266
410,0.9951057603218005
411,0.9954904973898895
412,0.9950289258999796
413,0.9959916160086777
414,0.9959916160086777
415,0.9957246728887483
416,0.9949506790806988
417,0.9955690266886623
418,0.9950673431108902
419,0.9955690266886623
420,0.99506734311089
421,0.9956831484034259
422,0.9953012361302569
423,0.9954921922668415
424,0.9954529276174551
425,0.9956077263790648
426,0.9943724435605974
427,0.9952221418725001
428,0.9946054891414884
429,0.995453210096947
430,0.9951057603218008
431,0.9947970102370569
432,0.9952227068314841
433,0.9947215882126959
434,0.9949529389166345
435,0.9942970215362366
436,0.9947611353415742
437,0.9949890962916091
438,0.9944899550292648
439,0.9946809111658494
440,0.995222424351992
441,0.994258886804818
442,0.9950693204673341
443,0.9946828885222931
444,0.994412273168968
445,0.9946837359607692
446,0.9942586043253259
447,0.9949523739576506
448,0.9945676368895618
449,0.9952235542699601
450,0.9949922035660211
451,0.9942602992022778
452,0.994566506971594
453,0.9948012474294368
454,0.9946060541004723
455,0.9950309032564236
456,0.9946450362703668
457,0.9945292196786513
458,0.9947224356511717
459,0.994258886804818
460,0.9945662244921019
461,0.9948388172018712
462,0.9944504079003865
463,0.9940659533117895
464,0.9942956091387766
465,0.9942617115997379
466,0.9950673431108902
467,0.9943749858760255
468,0.9949142392262322
469,0.9945667894510859
470,0.9941447650900544
471,0.9944896725497729
472,0.9949546337935866
473,0.9946464486678266
474,0.9937622878579015
475,0.9936060766988316
476,0.9945300671171273
477,0.9947600054236062
478,0.994182899821473
479,0.9938772570111409
480,0.9940261237034191
481,0.9943396759395269
482,0.9942631239971977
483,0.9941868545343608
484,0.9940670832297573
485,0.9943374161035908
486,0.9941854421369009
487,0.9940295134573229
488,0.994490519988249
489,0.9949156516236922
490,0.9942622765587219
491,0.9944526677363225
492,0.9942989988926805
493,0.9939913787259045
494,0.9946077489774243
495,0.9946857133172132
496,0.9939526790355021
497,0.9943371336240989
498,0.9943769632324694
499,0.9944125556484599
500,0.9945679193690538
