n_features,mean_auc
170,0.9983449526564371
171,0.9980370500101692
172,0.9979977853607828
173,0.9981147318704663
174,0.9976898827145149
175,0.9977294298433934
176,0.9979613455063163
177,0.9979986327992588
178,0.997614178210662
179,0.9979599331088563
180,0.9981915662922871
181,0.9984200922013061
182,0.9978830986870353
183,0.9978056993062303
184,0.9981539965198525
185,0.9982664233576642
186,0.9980350726537253
187,0.9978833811665273
188,0.9978845110844953
189,0.9980754672210796
190,0.9982285711057377
191,0.9979217983774378
192,0.9981528666018846
193,0.9981525841223927
194,0.9983828049083636
195,0.9978830986870353
196,0.9978833811665273
197,0.9984209396397821
198,0.997459379449052
199,0.9978449639556167
200,0.9974215271971254
201,0.9979599331088563
202,0.9973438453368285
203,0.997536213870873
204,0.9973438453368285
205,0.9970359426905606
206,0.9969969605206661
207,0.9974989265779304
208,0.9971130595918737
209,0.9975737836433074
210,0.9972280287451131
211,0.997997785360783
212,0.9969966780411743
213,0.9973057106054102
214,0.9976116358952339
215,0.9976511830241126
216,0.9974203972791574
217,0.9977268875279656
218,0.9977282999254256
219,0.9971887640957267
220,0.9969206910578292
221,0.9972667284355156
222,0.9970743599014712
223,0.9971879166572506
224,0.9970721000655353
225,0.9971893290547106
226,0.9968800140109828
227,0.9971116471944136
228,0.996799507355766
229,0.9975735011638154
230,0.9973831099862149
231,0.9968410318410884
232,0.9975732186843235
233,0.9971494994463402
234,0.9960718401844026
235,0.9967667397346952
236,0.9963788953921945
237,0.9974966667419946
238,0.9958783417323902
239,0.9971881991367427
240,0.9957647849766108
241,0.9978042869087703
242,0.996648945786536
243,0.9965723938442069
244,0.9964543174165555
245,0.9972650335585638
246,0.9955712865245984
247,0.9967644798987594
248,0.9968413143205804
249,0.9966495107455199
250,0.9968407493615963
251,0.9966099636166413
252,0.9971139070303497
253,0.9968418792795644
254,0.9966879279564302
255,0.996418442521073
256,0.9964975367788298
257,0.9967257802083569
258,0.9966503581839958
259,0.9970353777315768
260,0.9968026146301778
261,0.9969980904386342
262,0.997458814490068
263,0.9971896115342027
264,0.9967653273372352
265,0.9974599444080361
266,0.9966110935346094
267,0.9970350952520846
268,0.9959961356805496
269,0.9969206910578292
270,0.995379200470046
271,0.996420137398025
272,0.9958797541298502
273,0.9966503581839958
274,0.9961509344421596
275,0.9969206910578292
276,0.9960345528914599
277,0.9971517592822762
278,0.996264491197939
279,0.9957630900996588
280,0.9959560235926872
281,0.9967664572552032
282,0.9964181600415809
283,0.9964178775620891
284,0.9962274863844884
285,0.9962263564665206
286,0.9966873629974465
287,0.9969582608302637
288,0.9964969718198459
289,0.9958029197080291
290,0.9959574359901471
291,0.9964582721294434
292,0.9963797428306705
293,0.9971528892002441
294,0.9961907640505299
295,0.9969201260988452
296,0.9955337167521637
297,0.9966893403538902
298,0.9956102686944928
299,0.996648945786536
300,0.9954574472893268
301,0.9965359539897403
302,0.9957272152041762
303,0.9963404781812841
304,0.996189069173578
305,0.9967670222141873
306,0.9956876680752977
307,0.996726627646833
308,0.9965351065512644
309,0.9959978305575016
310,0.9963060156832613
311,0.9961111048337891
312,0.9960718401844026
313,0.9958421843574156
314,0.9957633725791506
315,0.9958046145849812
316,0.996186809337642
317,0.996189634132562
318,0.9955710040451062
319,0.9952619714808705
320,0.9954952995412534
321,0.9963828501050823
322,0.9963803077896547
323,0.9965359539897403
324,0.996188504214594
325,0.9963825676255904
326,0.9957633725791506
327,0.9962647736774312
328,0.9953407832591352
329,0.9969198436193534
330,0.9957269327246842
331,0.9964187250005649
332,0.9955732638810421
333,0.996264491197939
334,0.9958800366093422
335,0.9965328467153285
336,0.9960362477684122
337,0.9963822851460984
338,0.996188786694086
339,0.9961498045241916
340,0.9955718514835821
341,0.9961887866940862
342,0.995455752412375
343,0.995227508982848
344,0.9957664798535626
345,0.9951105624731644
346,0.9955334342726718
347,0.9955342817111479
348,0.9960726876228787
349,0.9961509344421596
350,0.9960738175408466
351,0.995454622494407
352,0.9953390883821835
353,0.9956902103907256
354,0.9951865494565096
355,0.99491960633658
356,0.995150392081535
357,0.9956506632618473
358,0.9956879505547898
359,0.9951102799936724
360,0.9952266615443719
361,0.9952636663578225
362,0.9958803190888341
363,0.9956099862150009
364,0.9955724164425662
365,0.9951489796840749
366,0.9955348466701317
367,0.9956492508643873
368,0.9956498158233712
369,0.9946874081941651
370,0.9952631013988386
371,0.995225531626404
372,0.9951871144154936
373,0.9957630900996588
374,0.9948388172018712
375,0.9955721339630743
376,0.9953026485277169
377,0.9949571761090145
378,0.9951470023276311
379,0.9950710153442861
380,0.9956478384669273
381,0.9950325981333755
382,0.9947246954871076
383,0.9947622652595423
384,0.9953797654290298
385,0.9953023660482249
386,0.9943769632324694
387,0.995147284807123
388,0.9951865494565094
389,0.9957241079297644
390,0.9949955933199248
391,0.9958404894804638
392,0.9947246954871076
393,0.9952645137962983
394,0.9948393821608551
395,0.9957272152041764
396,0.9957266502451922
397,0.9951484147250909
398,0.9950317506948995
399,0.9942628415177058
400,0.9947619827800501
401,0.9945309145556033
402,0.9948001175114687
403,0.9949546337935867
404,0.9951464373686469
405,0.9946837359607692
406,0.9949540688346026
407,0.9949557637115547
408,0.9952631013988386
409,0.9947246954871076
410,0.9944927798241847
411,0.9950345754898194
