gene_set_library,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
GO_Biological_Process_2023,prerank,Regulation Of Neuron Projection Development (GO:0010975),0.25176840339027673,1.040085331070974,0.3526170798898072,0.4661745494434147,1.0,54/165,22.87%,ITGA6;RAB29;WNT5A;DDR2;TWF1;DPYSL3;APOE;CIB1;RAP1A;ABI3;PAK2;SNX3;NDNF;PDLIM5;PAQR3;ALKAL2;LRRK2;FES;MUSK;SCARB2;ITM2C;EFHC2;TNN;CFL1;FBXO7;FRMD7;HDAC2;MBOAT1;RUFY3;MYLIP;YTHDF1;MAG;TSKU;MDK;ARSB;SEMA3A;PRKD1;TRPV4;LPAR1;RET;PSEN1;TWF2;PTEN;PRKCI;SETX;SERPINI1;EPHA3;ALKAL1;MFSD2A;NTRK2;CAMSAP2;ACP4;FKBP4;BAG5
GO_Biological_Process_2023,prerank,Regulation Of Peptidyl-Threonine Phosphorylation (GO:0010799),0.3437607202865159,1.0393785212884479,0.38917089678510997,0.467243900552537,1.0,15/27,28.30%,SPHK1;EGF;TGFB1;TRIM6;CALM2;CAB39;CADM4;UBE2K;MAPK1;SIRT2;S1PR2;PARD3;SPRED1;EIF4G1;BMP7
GO_Biological_Process_2023,prerank,Midbrain Dopaminergic Neuron Differentiation (GO:1904948),0.43130607007242483,1.0391430657017722,0.43161634103019536,0.4674649312664579,1.0,5/10,34.04%,WNT5A;RYK;LMX1A;WNT2;LRP6
GO_Biological_Process_2023,prerank,Cardiac Muscle Cell Differentiation (GO:0055007),0.3484847469323627,1.0388133448428902,0.3915171288743883,0.46784842543054755,1.0,10/25,25.78%,BMP2;SHOX2;AKAP13;CXADR;IRX3;CBY1;MYOCD;GREM1;MYH6;SLC8A1
GO_Biological_Process_2023,prerank,Cellular Response To Retinoic Acid (GO:0071300),0.31507182699255315,1.0380969529296877,0.4019448946515397,0.46891308873542975,1.0,14/40,25.55%,WNT5A;AQP1;NDUFA13;WNT6;SNW1;HTRA2;WNT5B;RET;TWF2;SETX;EPHA3;ATM;CREB1;SOX9
GO_Biological_Process_2023,prerank,Response To Estrogen (GO:0043627),0.3270030883416321,1.0368242173243138,0.40480274442538594,0.4709191408472204,1.0,17/31,25.55%,CAV1;NCOA4;CD24;SFR1;SLC34A2;GATA3;ESR1;CITED4;CRHBP;ARID5A;ASH2L;BRCA1;OCSTAMP;CITED2;RBBP5;CITED1;SOX9
GO_Biological_Process_2023,prerank,Calcium Ion Transport (GO:0006816),0.26781333933154977,1.0361868154557,0.3953823953823954,0.47187830189559926,1.0,31/101,20.68%,ANO6;CCR1;CAV1;CALCRL;CCR5;ITGAV;SELENOK;ORAI1;CLU;SLC24A5;TMCO1;CCL8;CACNA2D4;CCL5;RAMP2;MS4A1;TRPM8;RAMP3;MCOLN3;CCL3;CASR;ATP2C1;SLC3A2;PANX1;TRPV4;MCUR1;PSEN1;FYN;TRPV2;TRPC1;SLC24A1
GO_Biological_Process_2023,prerank,Neutral Amino Acid Transport (GO:0015804),0.3350581453235918,1.0359622981082393,0.44045676998368677,0.4720804135758408,1.0,11/30,21.33%,SLC7A7;SLC1A5;SLC38A1;SLC38A4;SLC7A11;SLC36A4;SLC36A2;SLC3A2;SLC6A9;SLC6A20;SLC6A14
GO_Biological_Process_2023,prerank,Monosaccharide Transmembrane Transport (GO:0015749),0.40777422095086957,1.0356492646894175,0.40559440559440557,0.47243968412659915,1.0,4/13,11.90%,SLC2A9;SLC50A1;SLC5A3;SLC2A10
GO_Biological_Process_2023,prerank,Regulation Of Non-Canonical Wnt Signaling Pathway (GO:2000050),0.40201278798516243,1.0339555623099668,0.39285714285714285,0.47523084925174486,1.0,5/13,22.29%,GPC3;SFRP4;WNT5B;LBX2;DAAM2
GO_Biological_Process_2023,prerank,Regulation Of Cell Cycle Process (GO:0010564),0.25883141909143165,1.0336262275674186,0.38362068965517243,0.47561249894247715,1.0,40/120,20.33%,RPL17;KLHL13;ACTL6A;CAV2;CETN2;CDKN2B;SH3GLB1;CDC42;CALM2;MYC;PLK3;BUB1;ECT2;PRPF40A;HMGA2;KLHL9;KIF11;CTNNB1;PRMT5;AURKB;SND1;CHEK1;CDCA2;KIF20A;BBS4;BECN1;FBXO5;SMARCE1;CCDC8;MAP9;KIF2C;USP51;RACGAP1;YTHDF2;BORA;MCM2;AURKA;PIK3R4;PHF10;NEK2
