Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,gene_set_name
DisGeNET,Dementia,1/436,0.0639875109372579,0.0994874313887503,0,0,22.48505747126437,61.81293749811697,CLDN5,down_in_ALS
DisGeNET,Cholangiocarcinoma,1/455,0.0667120834071222,0.1030179791388894,0,0,21.523127753303964,58.27105277828656,ANGPT2,down_in_ALS
DisGeNET,Septicemia,1/468,0.0685732150362854,0.1046885553771738,0,0,20.91006423982869,56.035904067957496,ANGPT2,down_in_ALS
DisGeNET,Malaria,1/469,0.0687162764369995,0.1046885553771738,0,0,20.86431623931624,55.86982314044835,ANGPT2,down_in_ALS
DisGeNET,Thyroid Neoplasm,1/476,0.0697172961048257,0.1055055081053029,0,0,20.549473684210525,54.72955384796592,ANGPT2,down_in_ALS
DisGeNET,Cardiomyopathies,1/480,0.0702889851502533,0.1056662227093212,0,0,20.37369519832985,54.09501665338735,ANGPT2,down_in_ALS
DisGeNET,Hyperglycemia,1/488,0.0714316605364975,0.1066775456696377,0,0,20.03080082135524,52.861565462114456,ANGPT2,down_in_ALS
DisGeNET,Acute leukemia,1/492,0.0720026469561047,0.1068274565950051,0,0,19.86354378818737,52.262024504027394,CLDN5,down_in_ALS
DisGeNET,Malignant Glioma,1/504,0.0737142017385212,0.1086566480171709,0,0,19.37773359840954,50.528599180478096,ANGPT2,down_in_ALS
DisGeNET,Secondary malignant neoplasm of liver,1/508,0.0742842520061919,0.1087150090704004,0,0,19.220907297830376,49.97159695280996,ANGPT2,down_in_ALS
DisGeNET,Tumor Angiogenesis,1/511,0.07471163618935,0.1087150090704004,0,0,19.104901960784314,49.56039732155777,ANGPT2,down_in_ALS
DisGeNET,Sepsis,1/529,0.0772731792112941,0.1117261890507246,0,0,18.43655303030303,47.20510439215642,ANGPT2,down_in_ALS
DisGeNET,Metabolic Syndrome X,1/548,0.0799718968536304,0.1148963328213551,0,0,17.778793418647165,44.91065439638352,ANGPT2,down_in_ALS
DisGeNET,Diabetic Nephropathy,1/561,0.081815352813109,0.1168055665948159,0,0,17.354464285714286,43.44326324974771,ANGPT2,down_in_ALS
DisGeNET,Papillary thyroid carcinoma,1/571,0.0832317190222621,0.1180850013628343,0,0,17.04122807017544,42.36665322326647,ANGPT2,down_in_ALS
DisGeNET,Liver diseases,1/606,0.0881775295451708,0.1237550422748428,0,0,16.026446280991735,38.91867207898684,ANGPT2,down_in_ALS
DisGeNET,Congenital Abnormality,1/607,0.0883185764252182,0.1237550422748428,0,0,15.999174917491748,38.82687472511051,ANGPT2,down_in_ALS
DisGeNET,Arthritis,1/630,0.0915586414879417,0.1263496072934719,0,0,15.395866454689983,36.80806219027561,ANGPT2,down_in_ALS
DisGeNET,Conventional (Clear Cell) Renal Cell Carcinoma,1/631,0.0916993394732135,0.1263496072934719,0,0,15.37063492063492,36.72413735900268,ANGPT2,down_in_ALS
DisGeNET,Triple Negative Breast Neoplasms,1/632,0.0918400229225677,0.1263496072934719,0,0,15.345483359746437,36.64051952217666,ANGPT2,down_in_ALS
DisGeNET,Kidney Diseases,1/639,0.0928244003930305,0.1269345716217948,0,0,15.171630094043888,36.063658660867375,ANGPT2,down_in_ALS
DisGeNET,Sarcoma,1/658,0.0954926959376148,0.1294079227224918,0,0,14.71841704718417,34.56922731653421,ANGPT2,down_in_ALS
DisGeNET,Amyotrophic Lateral Sclerosis,1/660,0.0957732643937384,0.1294079227224918,0,0,14.672230652503794,34.41770359111553,CLDN5,down_in_ALS
DisGeNET,Chronic Obstructive Airway Disease,1/669,0.0970351045159547,0.1303187575748411,0,0,14.467814371257486,33.748816872235295,ANGPT2,down_in_ALS
DisGeNET,Small cell carcinoma of lung,1/673,0.0975955453203656,0.1303187575748411,0,0,14.378720238095235,33.458180998387206,ANGPT2,down_in_ALS
DisGeNET,MYELODYSPLASTIC SYNDROME,1/683,0.0989956327157662,0.130651212944645,0,0,14.160557184750733,32.748830930022166,ANGPT2,down_in_ALS
